21,11
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,enemy:wall:c:d,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,enemy:smart,ground,ground,ground,wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,player,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,goal,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,enemy:wall:c:u,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
