20,20
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
wall,enemy:stright,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall,ground,ground,wall,teleport,ground,player,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall,ground,ground,wall,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,fireBoots,token,ground,ground,ground,ground,wall,ground,ground,wall,ground,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,door:green,wall,wall,wall,wall,ground,ground,wall,ground,ground,enemy:smart,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,enemy:wall,wall,wall,door:token:4,wall,ground,ground,token,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,wall,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,key:green,ground,ground,ground,ground,ground,ground,ground,ground,wall,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,water,water,water,water,water,water,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,water,water,water,water,water,water,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,water,water,water,water,water,water,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,water,water,water,water,water,water,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,water,water,water,water,water,water,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,ground,ground,ground,ground,ground,ground,wall
wall,ground,ground,ground,ground,ground,ground,ground,ground,fire,fire,fire,wall,ground,ground,ground,ground,ground,ground,wall
wall,teleport,ground,ground,ground,ground,ground,ground,enemy:dumb,fire,token,flippers,wall,token,ground,ground,key:blue,ground,ground,wall
wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall,wall
